taxon	freq
Stemonitidaceae	9
Phoebastria	9
Hemileuca	9
Hemidactylus	9
Anthoathecata	9
Sauropterygia	9
Notodontidae	9
Entognatha	9
Hynobius	9
Galbulidae	9
Primula	9
Pediculidae	9
Amoebida	9
Calocoris	9
Gaviiformes	9
Bolitoglossa	9
Apodemus	9
Dipodium	9
Cavia	9
Ovis	9
Aulopiformes	9
Cobitidae	9
Hypsiboas	9
Brotogeris	9
Gavia	9
Megophryidae	9
Marchantiales	9
Spilogale	9
Thelacantha	9
Rhabdocoela	9
Lycoperdon	9
Cottidae	9
Eurycea	9
Brachytheciaceae	9
Theridiidae	9
Scolopendridae	9
Connochaetes	9
Characidae	9
Gaviidae	9
Pediculus	9
Agapornis	9
Lampyridae	9
Ophiuroidea	9
Crabronidae	9
Pseudemys	9
Hyalinobatrachium	9
Aphididae	9
Cyanopica	9
Telophorus	9
Leiopelmatidae	9
Lutra	9
Leptoglossus	9
anemone	9
Pedicularis	9
Regulidae	9
polygala	9
Scolopendromorpha	9
Sciaenidae	9
Hirundo	9
Phoenicopterus	9
Pyronemataceae	9
Cynipidae	9
Cornales	9
citrus	9
Regulus	9
Lophura	9
Chlorocebus	9
Lobosa	9
Littorina	9
Zygentoma	9
Plumbaginaceae	9
Utricularia	9
Actinopteri	9
Collembola	9
Eudyptes	9
Sturnus	9
Unionidae	9
Tabanidae	9
Helianthus	9
Callithrix	9
bison	9
Glareolidae	9
Ononis	9
Helix	9
Terrapene	9
Sylvia	9
Russulaceae	9
Tetraodontidae	9
Trichiotinus	9
Rajidae	9
Polypterus	9
Yponomeutidae	9
Scorpionidae	9
Cynomys	9
Chromodoris	9
Leptotyphlops	9
Clupeidae	9
Anacardiaceae	9
Eira	8
Ichneumonidae	8
Hydrochaeridae	8
Luzula	8
Dianthus	8
Schisandraceae	8
Adonis	8
Juniperus	8
Tenrecidae	8
Cinnamomum	8
Phaethontidae	8
Lecithoepitheliata	8
Quiscalus	8
Gasterosteidae	8
Megaloglossus	8
Hypericaceae	8
Selaginellales	8
Cantharidae	8
Euthalia	8
Oncorhynchus	8
Crotaphytidae	8
Ophioglossales	8
Dermoptera	8
Incilius	8
Illicium	8
Ophidiiformes	8
Sternula	8
Aedes	8
Dendrocygna	8
Uromastyx	8
Geophaps	8
Psilotopsida	8
Agoutidae	8
Boronia	8
Melittia	8
Hydrophiidae	8
Psocodea	8
Eryngium	8
Phaethon	8
Ocyphaps	8
Zingiberales	8
subEquus	8
Hydrochaeris	8
Myrmecophagidae	8
castor	8
Oryx	8
Erotylidae	8
Botrychium	8
Ploceus	8
colchicum	8
Mantispidae	8
Mobula	8
Eutardigrada	8
Pheucticus	8
Pipidae	8
Papaver	8
Tridacna	8
Potentilla	8
Fringilla	8
Donax	8
Alcyonacea	8
Coccinella	8
Thomomys	8
Saxifragaceae	8
Euphorbia	8
Percidae	8
Rhinella	8
Parnassius	8
Tineidae	8
Veronica	8
Hyperoodontidae	8
Hypericum	8
Cyanocorax	8
Ixobrychus	8
Lestidae	8
Monachus	8
Aix	8
Desmidiaceae	8
Muntiacus	8
Pan	8
Scutelleridae	8
Ciconia	8
Selaginellaceae	8
Donacidae	8
Mactridae	8
Dermestidae	8
Prorhynchidae	8
Scombridae	8
Cyanistes	8
Sapajus	8
Araneus	8
Cydippida	8
Corydalidae	8
Nyctaginaceae	8
Clavariaceae	8
Inula	8
Rana	8
Andrena	8
Muraena	8
Pontederiaceae	8
Coraciidae	8
Eupleridae	8
Andrenidae	8
Vombatidae	8
Phelsuma	8
Pristimantis	8
Myxiniformes	8
Ophioglossaceae	8
Petasites	8
Castoridae	8
Austrobaileyales	8
Octopus	8
Acer	8
Trachypithecus	8
Myxini	8
Phaethontiformes	8
Banksia	8
Linaria	8
Serinus	8
Cynocephalidae	8
Mephitis	8
Salvia	8
Stenella	8
Myxinidae	8
Morchellaceae	8
Enterogona	8
Tricholoma	8
Chiasmocleis	8
schizanthus	8
Hypocreales	7
syzygium	7
Pongo	7
Plasmodium	7
Melyridae	7
Dicruridae	7
Erebidae	7
Tessaratoma	7
Thamnophis	7
Forficulidae	7
Aonyx	7
Lacerta	7
Araliaceae	7
Opuntia	7
Pseudoeurycea	7
Thysanoptera	7
Pseudomys	7
Cebus	7
Pithecia	7
Braconidae	7
Styelidae	7
Ceramiaceae	7
Cornus	7
Sobralia	7
Geryonidae	7
Cayaponia	7
Chrysididae	7
Tachyglossidae	7
